"id_serie";"model_name";"model_group";"metric";"value"
"Y11735";"ARIMA(0,1,0) WITH DRIFT";"Arima_Seas";"mase";0.980585
"Y11735";"ARIMA(0,1,0) WITH DRIFT";"Arima_Seas";"rmsse";0.767094
"Y11735";"ETS(A,N,N)";"EXP_smoothing__TBATS";"smape";11.853518
"Y11735";"ETS(A,N,N)";"EXP_smoothing__TBATS";"mase";1.637783
"Y11735";"ETS(A,N,N)";"EXP_smoothing__TBATS";"rmsse";0.973236
"Y11735";"THETA METHOD";"EXP_smoothing__TBATS";"smape";8.032906
"Y11735";"THETA METHOD";"EXP_smoothing__TBATS";"mase";1.095874
"Y11735";"THETA METHOD";"EXP_smoothing__TBATS";"rmsse";0.756739
"Y11735";"BATS(1, {1,0}, 1, -)";"EXP_smoothing__TBATS";"smape";12.349367
"Y11735";"BATS(1, {1,0}, 1, -)";"EXP_smoothing__TBATS";"mase";1.79819
"Y11735";"BATS(1, {1,0}, 1, -)";"EXP_smoothing__TBATS";"rmsse";1.170163
"Y11735";"SEASONAL DECOMP: ETS(A,N,N)";"SLTM";"smape";11.327163
"Y11735";"SEASONAL DECOMP: ETS(A,N,N)";"SLTM";"mase";1.564828
"Y11735";"SEASONAL DECOMP: ETS(A,N,N)";"SLTM";"rmsse";0.920847
"Y11735";"SEASONAL DECOMP: ARIMA(0,1,0) WITH DRIFT";"SLTM";"smape";6.904485
"Y11735";"SEASONAL DECOMP: ARIMA(0,1,0) WITH DRIFT";"SLTM";"mase";0.932337
"Y11735";"SEASONAL DECOMP: ARIMA(0,1,0) WITH DRIFT";"SLTM";"rmsse";0.724001
"Y11735";"PROPHET";"Prophet";"smape";7.582646
"Y11735";"PROPHET";"Prophet";"mase";1.037517
"Y11735";"PROPHET";"Prophet";"rmsse";0.740744
"Y4772";"NAIVE";"Naive";"smape";7.154843
"Y4772";"NAIVE";"Naive";"mase";1.861126
"Y4772";"NAIVE";"Naive";"rmsse";1.162024
"Y4772";"SNAIVE [5]";"Naive";"smape";20.348109
"Y4772";"SNAIVE [5]";"Naive";"mase";4.778874
"Y4772";"SNAIVE [5]";"Naive";"rmsse";2.825241
"Y4772";"ARIMA(0,2,1)";"Arima_Seas";"smape";13.191285
"Y4772";"ARIMA(0,2,1)";"Arima_Seas";"mase";3.736222
"Y4772";"ARIMA(0,2,1)";"Arima_Seas";"rmsse";1.997858
"Y4772";"ETS(M,A,N)";"EXP_smoothing__TBATS";"smape";12.248506
"Y4772";"ETS(M,A,N)";"EXP_smoothing__TBATS";"mase";3.44448
"Y4772";"ETS(M,A,N)";"EXP_smoothing__TBATS";"rmsse";1.834586
"Y4772";"THETA METHOD";"EXP_smoothing__TBATS";"smape";4.417519
"Y4772";"THETA METHOD";"EXP_smoothing__TBATS";"mase";1.16008
"Y4772";"THETA METHOD";"EXP_smoothing__TBATS";"rmsse";0.698456
"Y4772";"BATS(0.172, {0,0}, 1, -)";"EXP_smoothing__TBATS";"smape";19.465794
"Y4772";"BATS(0.172, {0,0}, 1, -)";"EXP_smoothing__TBATS";"mase";5.807827
"Y4772";"BATS(0.172, {0,0}, 1, -)";"EXP_smoothing__TBATS";"rmsse";3.226624
"Y4772";"SEASONAL DECOMP: ETS(M,A,N)";"SLTM";"smape";14.294523
"Y4772";"SEASONAL DECOMP: ETS(M,A,N)";"SLTM";"mase";4.07292
"Y4772";"SEASONAL DECOMP: ETS(M,A,N)";"SLTM";"rmsse";2.1762
"Y4772";"SEASONAL DECOMP: ARIMA(0,2,1)";"SLTM";"smape";14.17143
"Y4772";"SEASONAL DECOMP: ARIMA(0,2,1)";"SLTM";"mase";4.034151
"Y4772";"SEASONAL DECOMP: ARIMA(0,2,1)";"SLTM";"rmsse";2.154439
"Y4772";"PROPHET";"Prophet";"smape";14.04542
"Y4772";"PROPHET";"Prophet";"mase";4.007054
"Y4772";"PROPHET";"Prophet";"rmsse";2.15481
"Y6757";"NAIVE";"Naive";"smape";3.247891
"Y6757";"NAIVE";"Naive";"mase";1.646534
"Y6757";"NAIVE";"Naive";"rmsse";1.463846
"Y6757";"SNAIVE [5]";"Naive";"smape";17.248545
"Y6757";"SNAIVE [5]";"Naive";"mase";7.958716
"Y6757";"SNAIVE [5]";"Naive";"rmsse";6.233374
"Y6757";"ARIMA(1,2,0)";"Arima_Seas";"smape";15.346725
"Y6757";"ARIMA(1,2,0)";"Arima_Seas";"mase";8.686711
"Y6757";"ARIMA(1,2,0)";"Arima_Seas";"rmsse";6.688959
"Y6757";"ETS(M,A,N)";"EXP_smoothing__TBATS";"smape";15.489288
"Y6757";"ETS(M,A,N)";"EXP_smoothing__TBATS";"mase";8.770377
"Y6757";"ETS(M,A,N)";"EXP_smoothing__TBATS";"rmsse";6.737901
"Y6757";"THETA METHOD";"EXP_smoothing__TBATS";"smape";1.01244
"Y6757";"THETA METHOD";"EXP_smoothing__TBATS";"mase";0.517522
"Y6757";"THETA METHOD";"EXP_smoothing__TBATS";"rmsse";0.426373
"Y6757";"BATS(0.239, {0,0}, 1, -)";"EXP_smoothing__TBATS";"smape";16.51126
"Y6757";"BATS(0.239, {0,0}, 1, -)";"EXP_smoothing__TBATS";"mase";9.429191
"Y6757";"BATS(0.239, {0,0}, 1, -)";"EXP_smoothing__TBATS";"rmsse";7.298694
"Y6757";"SEASONAL DECOMP: ETS(M,A,N)";"SLTM";"smape";13.615625
"Y6757";"SEASONAL DECOMP: ETS(M,A,N)";"SLTM";"mase";7.634654
"Y6757";"SEASONAL DECOMP: ETS(M,A,N)";"SLTM";"rmsse";5.924817
"Y6757";"SEASONAL DECOMP: ARIMA(1,2,0)";"SLTM";"smape";13.756385
"Y6757";"SEASONAL DECOMP: ARIMA(1,2,0)";"SLTM";"mase";7.724706
"Y6757";"SEASONAL DECOMP: ARIMA(1,2,0)";"SLTM";"rmsse";6.008134
"Y6757";"PROPHET";"Prophet";"smape";7.779947
"Y6757";"PROPHET";"Prophet";"mase";4.224295
"Y6757";"PROPHET";"Prophet";"rmsse";3.393079
"Y16231";"NAIVE";"Naive";"smape";11.919018
"Y16231";"NAIVE";"Naive";"mase";1.675505
"Y16231";"NAIVE";"Naive";"rmsse";1.039941
"Y16231";"SNAIVE [5]";"Naive";"smape";14.686184
"Y16231";"SNAIVE [5]";"Naive";"mase";2.040669
"Y16231";"SNAIVE [5]";"Naive";"rmsse";1.398213
"Y16231";"ARIMA(0,1,0)(1,0,0)[5] WITH DRIFT";"Arima_Seas";"smape";12.433072
"Y16231";"ARIMA(0,1,0)(1,0,0)[5] WITH DRIFT";"Arima_Seas";"mase";1.748929
"Y16231";"ARIMA(0,1,0)(1,0,0)[5] WITH DRIFT";"Arima_Seas";"rmsse";1.075851
"Y16231";"ETS(A,N,N)";"EXP_smoothing__TBATS";"smape";11.919101
"Y16231";"ETS(A,N,N)";"EXP_smoothing__TBATS";"mase";1.675517
"Y16231";"ETS(A,N,N)";"EXP_smoothing__TBATS";"rmsse";1.039951
"Y16231";"THETA METHOD";"EXP_smoothing__TBATS";"smape";12.02826
"Y16231";"THETA METHOD";"EXP_smoothing__TBATS";"mase";1.692155
"Y16231";"THETA METHOD";"EXP_smoothing__TBATS";"rmsse";1.032891
"Y16231";"BATS(1, {0,0}, 1, -)";"EXP_smoothing__TBATS";"smape";12.124858
"Y16231";"BATS(1, {0,0}, 1, -)";"EXP_smoothing__TBATS";"mase";1.715736
"Y16231";"BATS(1, {0,0}, 1, -)";"EXP_smoothing__TBATS";"rmsse";1.117509
"Y16231";"SEASONAL DECOMP: ETS(A,N,N)";"SLTM";"smape";11.878725
"Y16231";"SEASONAL DECOMP: ETS(A,N,N)";"SLTM";"mase";1.669983
"Y16231";"SEASONAL DECOMP: ETS(A,N,N)";"SLTM";"rmsse";1.042787
"Y16231";"SEASONAL DECOMP: ARIMA(0,1,0) WITH DRIFT";"SLTM";"smape";12.075716
"Y16231";"SEASONAL DECOMP: ARIMA(0,1,0) WITH DRIFT";"SLTM";"mase";1.713161
"Y16231";"SEASONAL DECOMP: ARIMA(0,1,0) WITH DRIFT";"SLTM";"rmsse";1.147784
"Y16231";"PROPHET";"Prophet";"smape";12.67376
"Y16231";"PROPHET";"Prophet";"mase";1.78705
"Y16231";"PROPHET";"Prophet";"rmsse";1.10406
"Y2764";"NAIVE";"Naive";"smape";8.140704
"Y2764";"NAIVE";"Naive";"mase";1.324318
"Y2764";"NAIVE";"Naive";"rmsse";1.025665
"Y2764";"SNAIVE [5]";"Naive";"smape";11.366338
"Y2764";"SNAIVE [5]";"Naive";"mase";1.749897
"Y2764";"SNAIVE [5]";"Naive";"rmsse";1.513503
"Y2764";"ARIMA(0,1,1) WITH DRIFT";"Arima_Seas";"smape";8.87644
"Y2764";"ARIMA(0,1,1) WITH DRIFT";"Arima_Seas";"mase";1.461431
"Y2764";"ARIMA(0,1,1) WITH DRIFT";"Arima_Seas";"rmsse";1.311485
"Y21594";"NAIVE";"Naive";"smape";12.192217
"Y21594";"NAIVE";"Naive";"mase";0.80089
"Y21594";"NAIVE";"Naive";"rmsse";0.918807
"Y21594";"SNAIVE [5]";"Naive";"smape";13.261183
"Y21594";"SNAIVE [5]";"Naive";"mase";0.856932
"Y21594";"SNAIVE [5]";"Naive";"rmsse";0.938682
"Y21594";"ARIMA(0,1,0) WITH DRIFT";"Arima_Seas";"smape";20.473177
"Y21594";"ARIMA(0,1,0) WITH DRIFT";"Arima_Seas";"mase";1.384727
"Y21594";"ARIMA(0,1,0) WITH DRIFT";"Arima_Seas";"rmsse";1.261693
"Y21594";"ETS(M,A,N)";"EXP_smoothing__TBATS";"smape";23.309753
"Y21594";"ETS(M,A,N)";"EXP_smoothing__TBATS";"mase";1.605157
"Y21594";"ETS(M,A,N)";"EXP_smoothing__TBATS";"rmsse";1.436103
"Y21594";"THETA METHOD";"EXP_smoothing__TBATS";"smape";15.664533
"Y21594";"THETA METHOD";"EXP_smoothing__TBATS";"mase";1.033119
"Y21594";"THETA METHOD";"EXP_smoothing__TBATS";"rmsse";1.038171
"Y21594";"BATS(0, {0,0}, 1, -)";"EXP_smoothing__TBATS";"smape";33.424284
"Y21594";"BATS(0, {0,0}, 1, -)";"EXP_smoothing__TBATS";"mase";2.488614
"Y21594";"BATS(0, {0,0}, 1, -)";"EXP_smoothing__TBATS";"rmsse";2.262458
"Y21594";"SEASONAL DECOMP: ETS(M,N,N)";"SLTM";"smape";12.432222
"Y21594";"SEASONAL DECOMP: ETS(M,N,N)";"SLTM";"mase";0.816518
"Y21594";"SEASONAL DECOMP: ETS(M,N,N)";"SLTM";"rmsse";0.91361
"Y21594";"SEASONAL DECOMP: ARIMA(0,1,0) WITH DRIFT";"SLTM";"smape";19.653397
"Y21594";"SEASONAL DECOMP: ARIMA(0,1,0) WITH DRIFT";"SLTM";"mase";1.328214
"Y21594";"SEASONAL DECOMP: ARIMA(0,1,0) WITH DRIFT";"SLTM";"rmsse";1.201379
"Y21594";"PROPHET";"Prophet";"smape";18.465066
"Y21594";"PROPHET";"Prophet";"mase";1.233292
"Y21594";"PROPHET";"Prophet";"rmsse";1.180786
"Y12733";"NAIVE";"Naive";"smape";20.286024
"Y12733";"NAIVE";"Naive";"mase";3.760365
"Y12733";"NAIVE";"Naive";"rmsse";2.444519
"Y12733";"SNAIVE [5]";"Naive";"smape";18.429015
"Y12733";"SNAIVE [5]";"Naive";"mase";3.44942
"Y12733";"SNAIVE [5]";"Naive";"rmsse";2.297429
"Y12733";"ARIMA(0,1,0) WITH DRIFT";"Arima_Seas";"smape";9.45161
"Y12733";"ARIMA(0,1,0) WITH DRIFT";"Arima_Seas";"mase";1.848051
"Y12733";"ARIMA(0,1,0) WITH DRIFT";"Arima_Seas";"rmsse";1.261785
"Y12733";"ETS(M,A,N)";"EXP_smoothing__TBATS";"smape";14.487629
"Y12733";"ETS(M,A,N)";"EXP_smoothing__TBATS";"mase";2.765951
"Y12733";"ETS(M,A,N)";"EXP_smoothing__TBATS";"rmsse";1.81252
"Y12733";"THETA METHOD";"EXP_smoothing__TBATS";"smape";13.324946
"Y12733";"THETA METHOD";"EXP_smoothing__TBATS";"mase";2.558665
"Y12733";"THETA METHOD";"EXP_smoothing__TBATS";"rmsse";1.684208
"Y12733";"BATS(0.389, {0,0}, 1, -)";"EXP_smoothing__TBATS";"smape";24.438928
"Y12733";"BATS(0.389, {0,0}, 1, -)";"EXP_smoothing__TBATS";"mase";4.432587
"Y12733";"BATS(0.389, {0,0}, 1, -)";"EXP_smoothing__TBATS";"rmsse";2.904355
"Y12733";"SEASONAL DECOMP: ETS(A,A,N)";"SLTM";"smape";21.441805
"Y12733";"SEASONAL DECOMP: ETS(A,A,N)";"SLTM";"mase";3.947076
"Y12733";"SEASONAL DECOMP: ETS(A,A,N)";"SLTM";"rmsse";2.582525
"Y12733";"SEASONAL DECOMP: ARIMA(0,1,0) WITH DRIFT";"SLTM";"smape";7.985868
"Y12733";"SEASONAL DECOMP: ARIMA(0,1,0) WITH DRIFT";"SLTM";"mase";1.579408
"Y12733";"SEASONAL DECOMP: ARIMA(0,1,0) WITH DRIFT";"SLTM";"rmsse";1.090798
"Y12733";"PROPHET";"Prophet";"smape";6.602385
"Y12733";"PROPHET";"Prophet";"mase";1.340963
"Y12733";"PROPHET";"Prophet";"rmsse";0.930115
"Y9220";"NAIVE";"Naive";"smape";17.587853
"Y9220";"NAIVE";"Naive";"mase";2.88689
"Y9220";"NAIVE";"Naive";"rmsse";2.664019
"Y9220";"SNAIVE [5]";"Naive";"smape";31.899328
"Y9220";"SNAIVE [5]";"Naive";"mase";6.108849
"Y9220";"SNAIVE [5]";"Naive";"rmsse";6.348342
"Y9220";"ARIMA(0,1,0)";"Arima_Seas";"smape";17.587853
"Y9220";"ARIMA(0,1,0)";"Arima_Seas";"mase";2.88689
"Y9220";"ARIMA(0,1,0)";"Arima_Seas";"rmsse";2.664019
"Y9220";"ETS(M,N,N)";"EXP_smoothing__TBATS";"smape";17.586069
"Y9220";"ETS(M,N,N)";"EXP_smoothing__TBATS";"mase";2.886565
"Y9220";"ETS(M,N,N)";"EXP_smoothing__TBATS";"rmsse";2.663754
"Y9220";"THETA METHOD";"EXP_smoothing__TBATS";"smape";26.168992
"Y9220";"THETA METHOD";"EXP_smoothing__TBATS";"mase";4.551645
"Y9220";"THETA METHOD";"EXP_smoothing__TBATS";"rmsse";4.219492
"Y9220";"BATS(0.001, {0,0}, -, -)";"EXP_smoothing__TBATS";"smape";18.779204
"Y9220";"BATS(0.001, {0,0}, -, -)";"EXP_smoothing__TBATS";"mase";3.105418
"Y9220";"BATS(0.001, {0,0}, -, -)";"EXP_smoothing__TBATS";"rmsse";2.842738
"Y9220";"SEASONAL DECOMP: ETS(A,N,N)";"SLTM";"smape";17.37043
"Y9220";"SEASONAL DECOMP: ETS(A,N,N)";"SLTM";"mase";2.878904
"Y9220";"SEASONAL DECOMP: ETS(A,N,N)";"SLTM";"rmsse";2.837444
"Y9220";"SEASONAL DECOMP: ARIMA(0,1,0)";"SLTM";"smape";17.371401
"Y9220";"SEASONAL DECOMP: ARIMA(0,1,0)";"SLTM";"mase";2.87908
"Y9220";"SEASONAL DECOMP: ARIMA(0,1,0)";"SLTM";"rmsse";2.837579
"Y9220";"PROPHET";"Prophet";"smape";44.186167
"Y9220";"PROPHET";"Prophet";"mase";8.641686
"Y9220";"PROPHET";"Prophet";"rmsse";7.748565
"Y10216";"NAIVE";"Naive";"smape";26.794949
"Y10216";"NAIVE";"Naive";"mase";1.58836
"Y10216";"NAIVE";"Naive";"rmsse";1.04258
"Y10216";"SNAIVE [5]";"Naive";"smape";35.321814
"Y10216";"SNAIVE [5]";"Naive";"mase";1.989559
"Y10216";"SNAIVE [5]";"Naive";"rmsse";1.438448
"Y10216";"ARIMA(0,1,1)(0,0,1)[5] WITH DRIFT";"Arima_Seas";"smape";27.814773
"Y10216";"ARIMA(0,1,1)(0,0,1)[5] WITH DRIFT";"Arima_Seas";"mase";1.633955
"Y10216";"ARIMA(0,1,1)(0,0,1)[5] WITH DRIFT";"Arima_Seas";"rmsse";1.118239
"Y10216";"ETS(M,A,N)";"EXP_smoothing__TBATS";"smape";29.561084
"Y10216";"ETS(M,A,N)";"EXP_smoothing__TBATS";"mase";1.740971
"Y10216";"ETS(M,A,N)";"EXP_smoothing__TBATS";"rmsse";1.146736
"Y10216";"THETA METHOD";"EXP_smoothing__TBATS";"smape";29.894842
"Y10216";"THETA METHOD";"EXP_smoothing__TBATS";"mase";1.756483
"Y10216";"THETA METHOD";"EXP_smoothing__TBATS";"rmsse";1.175717
